Area de Abrangencia,Semana Epidemiologica,Data da Instalacao,Data da Coleta,Status
C.S.REGINA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.REGINA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.REGINA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.REGINA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.REGINA,1,02/01/2017,09/01/2017,POSITIVO
C.S.REGINA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.REGINA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.ITAIPU,1,02/01/2017,09/01/2017,POSITIVO
C.S.ITAIPU,1,02/01/2017,09/01/2017,POSITIVO
C.S.ITAIPU,1,02/01/2017,09/01/2017,NEGATIVO
C.S.ITAIPU,1,02/01/2017,09/01/2017,POSITIVO
C.S.ITAIPU,1,02/01/2017,09/01/2017,NEGATIVO
C.S.ITAIPU,1,02/01/2017,09/01/2017,NEGATIVO
C.S.TUNEL DE IBIRITE,1,02/01/2017,09/01/2017,POSITIVO
C.S.TIROL,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BAIRRO DAS INDUSTRIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,POSITIVO
C.S.BARREIRO DE CIMA,1,02/01/2017,09/01/2017,NEGATIVO
C.S.DIAMANTE / TEIXEIRA DIAS,1,02/01/2017,09/01/2017,POSITIVO
C.S.DIAMANTE / TEIXEIRA DIAS,1,02/01/2017,09/01/2017,POSITIVO
